,count,percent
Operation Protective Edge,27,0.00392841553906591
Obama's Iran,27,0.00392841553906591
Afghanistan,27,0.00392841553906591
Franz Kafka,27,0.00392841553906591
prayer,27,0.00392841553906591
Sunni,27,0.00392841553906591
Twitter,27,0.00392841553906591
civil rights,27,0.00392841553906591
klezmer,26,0.003782918667248654
Orthodox women,26,0.003782918667248654
The New Yorker,26,0.003782918667248654
animal sacrifice,26,0.003782918667248654
Bob Dylan,26,0.003782918667248654
excerpt,26,0.003782918667248654
bookworm,26,0.003782918667248654
China,25,0.0036374217954313983
England,25,0.0036374217954313983
yale university,25,0.0036374217954313983
journalism,25,0.0036374217954313983
nuclear weapons,25,0.0036374217954313983
seder,25,0.0036374217954313983
Yale University Press,25,0.0036374217954313983
Holocaust denial,25,0.0036374217954313983
Cold War,25,0.0036374217954313983
Golem,25,0.0036374217954313983
death,25,0.0036374217954313983
Family,25,0.0036374217954313983
Saudi Arabia,25,0.0036374217954313983
Yitzhak Rabin,25,0.0036374217954313983
Tisha B'Av,25,0.0036374217954313983
Democrats,25,0.0036374217954313983
painting,25,0.0036374217954313983
architecture,25,0.0036374217954313983
Jews,25,0.0036374217954313983
CIA,24,0.003491924923614142
Peter Beinart,24,0.003491924923614142
hip-hop,24,0.003491924923614142
Anti-Defamation League,24,0.003491924923614142
Israeli politics,24,0.003491924923614142
children,24,0.003491924923614142
Hannah Arendt,24,0.003491924923614142
Haaretz,24,0.003491924923614142
Al-Qaida,24,0.003491924923614142
Israeli foreign policy,24,0.003491924923614142
Israeli food,24,0.003491924923614142
nazism,24,0.003491924923614142
cancer,24,0.003491924923614142
NBA,24,0.003491924923614142
Hebrew,24,0.003491924923614142
Montreal,24,0.003491924923614142
Yom Ha'Shoah,24,0.003491924923614142
baseball,23,0.0033464280517968865
Rosh Hashanah Food,23,0.0033464280517968865
Hitler,23,0.0033464280517968865
YIVO,23,0.0033464280517968865
jihad,23,0.0033464280517968865
kabbalah,23,0.0033464280517968865
Jewish mothers,23,0.0033464280517968865
travel,23,0.0033464280517968865
Yom Kippur War,23,0.0033464280517968865
politics,22,0.0032009311799796303
diaspora,22,0.0032009311799796303
Judaism,22,0.0032009311799796303
weddings,22,0.0032009311799796303
Books,22,0.0032009311799796303
Adolf Eichmann,22,0.0032009311799796303
facebook,22,0.0032009311799796303
warsaw ghetto,22,0.0032009311799796303
bar mitzvah,22,0.0032009311799796303
Bernie Sanders,22,0.0032009311799796303
Hillel,22,0.0032009311799796303
Republicans,22,0.0032009311799796303
Berlin,22,0.0032009311799796303
Isaac Bashevis Singer,22,0.0032009311799796303
French anti-Semitism,21,0.0030554343081623746
Democratic Party,21,0.0030554343081623746
Bible,21,0.0030554343081623746
Recep Tayyip Erdogan,21,0.0030554343081623746
haredim,21,0.0030554343081623746
Islamophobia,21,0.0030554343081623746
Sports,21,0.0030554343081623746
sex,21,0.0030554343081623746
Harvard,21,0.0030554343081623746
Israeli cuisine,21,0.0030554343081623746
Tunisia,21,0.0030554343081623746
cookbooks,21,0.0030554343081623746
Rome,21,0.0030554343081623746
The Syrian Crisis,21,0.0030554343081623746
synagogues,21,0.0030554343081623746
Ronald Reagan,21,0.0030554343081623746
two-state solution,20,0.0029099374363451185
children's literature,20,0.0029099374363451185
Yiddishkeit,20,0.0029099374363451185
kashrut,20,0.0029099374363451185
Columbia University,20,0.0029099374363451185
Bernard Henri-Levy,20,0.0029099374363451185
video games,20,0.0029099374363451185
Pakistan,20,0.0029099374363451185
Academy Awards,20,0.0029099374363451185
Osama bin Laden,20,0.0029099374363451185
Rahm Emanuel,20,0.0029099374363451185
Yad Vashem,20,0.0029099374363451185
Eastern Europe,20,0.0029099374363451185
reality TV,20,0.0029099374363451185
elections,20,0.0029099374363451185
Sholem Aleichem,20,0.0029099374363451185
Second Intifada,20,0.0029099374363451185
Hanukkah read,20,0.0029099374363451185
diplomacy,20,0.0029099374363451185
South Africa,20,0.0029099374363451185
translation,20,0.0029099374363451185
transgender,20,0.0029099374363451185
Charlie Hebdo,19,0.0027644405645278628
Israel Defense Force,19,0.0027644405645278628
Passover 2011,19,0.0027644405645278628
refuseniks,19,0.0027644405645278628
Oscars,19,0.0027644405645278628
Passover read,19,0.0027644405645278628
challah,19,0.0027644405645278628
Florida,19,0.0027644405645278628
Modern Orthodox,19,0.0027644405645278628
National Poetry Month,19,0.0027644405645278628
Mexico,19,0.0027644405645278628
New Jersey,19,0.0027644405645278628
jazz,19,0.0027644405645278628
Music,19,0.0027644405645278628
San Francisco,19,0.0027644405645278628
Yair Lapid,19,0.0027644405645278628
Pittsburgh Massacre,19,0.0027644405645278628
Austria,19,0.0027644405645278628
Orthodox Judaism,19,0.0027644405645278628
Jordan,19,0.0027644405645278628
Toronto,18,0.0026189436927106066
Purim read,18,0.0026189436927106066
kosher,18,0.0026189436927106066
Norman Podhoretz,18,0.0026189436927106066
history,18,0.0026189436927106066
Ehud Olmert,18,0.0026189436927106066
Muslims,18,0.0026189436927106066
Marc Chagall,18,0.0026189436927106066
Natan Sharansky,18,0.0026189436927106066
Islamism,18,0.0026189436927106066
Hasidism,18,0.0026189436927106066
Washington,18,0.0026189436927106066
protest demonstrations,18,0.0026189436927106066
LGBT Jews,18,0.0026189436927106066
HBO,18,0.0026189436927106066
Cairo,18,0.0026189436927106066
comics,18,0.0026189436927106066
Sarah Silverman,18,0.0026189436927106066
basketball,18,0.0026189436927106066
shavuot food,18,0.0026189436927106066
Louis Farrakhan,18,0.0026189436927106066
Nextbook Press,17,0.002473446820893351
nationalism,17,0.002473446820893351
Aliyah,17,0.002473446820893351
Jewish LGBT Community,17,0.002473446820893351
Primo Levi,17,0.002473446820893351
Fiddler on the Roof,17,0.002473446820893351
Argentina,17,0.002473446820893351
homosexuality,17,0.002473446820893351
Sigmund Freud,17,0.002473446820893351
The New York Times,17,0.002473446820893351
Hanukkah Index,17,0.002473446820893351
movies,17,0.002473446820893351
intermarriage,17,0.002473446820893351
Etgar Keret,17,0.002473446820893351
Iranian Revolution,17,0.002473446820893351
Congress,17,0.002473446820893351
Spain,17,0.002473446820893351
atonement,17,0.002473446820893351
Upper West Side,17,0.002473446820893351
Soviet Jews,17,0.002473446820893351
Halloween,17,0.002473446820893351
Hanukkah Food,16,0.002327949949076095
Simchat Torah,16,0.002327949949076095
Shia,16,0.002327949949076095
genocide,16,0.002327949949076095
father's day,16,0.002327949949076095
the crisis in Egypt,16,0.002327949949076095
FBI,16,0.002327949949076095
Jonathan Safran Foer,16,0.002327949949076095
Bibi Netanyahu,16,0.002327949949076095
Anwar Sadat,16,0.002327949949076095
Ariel Sharon,16,0.002327949949076095
foreign policy,16,0.002327949949076095
tikkun olam,16,0.002327949949076095
haftorah,16,0.002327949949076095
Albert Einstein,16,0.002327949949076095
Christmas read,16,0.002327949949076095
Hassan Nasrallah,16,0.002327949949076095
Naftali Bennett,16,0.002327949949076095
Commentary,16,0.002327949949076095
Gay Marriage,16,0.002327949949076095
bat mitzvah,16,0.002327949949076095
United States,16,0.002327949949076095
Cynthia Ozick,16,0.002327949949076095
synagogue,16,0.002327949949076095
documentary film,16,0.002327949949076095
Tzipi Livni,16,0.002327949949076095
kosher food,16,0.002327949949076095
Labor Party,16,0.002327949949076095
socialism,16,0.002327949949076095
Barbra Streisand,16,0.002327949949076095
Haredi,16,0.002327949949076095
body image,16,0.002327949949076095
Occupy Wall Street,16,0.002327949949076095
shiva,15,0.002182453077258839
Anne Frank,15,0.002182453077258839
kibbutz,15,0.002182453077258839
Kristallnacht,15,0.002182453077258839
Israeli Arabs,15,0.002182453077258839
free speech,15,0.002182453077258839
soccer,15,0.002182453077258839
dairy,15,0.002182453077258839
Drake,15,0.002182453077258839
immigrants,15,0.002182453077258839
latkes,15,0.002182453077258839
haggadah,15,0.002182453077258839
circumcision,15,0.002182453077258839
The Polish Question,15,0.002182453077258839
Syrian Jews,15,0.002182453077258839
Natalie Portman,15,0.002182453077258839
Jeremy Corbyn,15,0.002182453077258839
Rosh Hashanah do,15,0.002182453077258839
fascism,15,0.002182453077258839
White House,15,0.002182453077258839
Campaign 2012,15,0.002182453077258839
Michael Chabon,15,0.002182453077258839
Howard Jacobson,15,0.002182453077258839
Gaza Flotilla,15,0.002182453077258839
Rashi,15,0.002182453077258839
High Holidays 5771,15,0.002182453077258839
1970's,15,0.002182453077258839
Yeshiva University,15,0.002182453077258839
19th century,14,0.002036956205441583
Sheldon Adelson,14,0.002036956205441583
Shoah,14,0.002036956205441583
Tablet in Warsaw,14,0.002036956205441583
Shavuot read,14,0.002036956205441583
Alfred Kazin,14,0.002036956205441583
Liberalism,14,0.002036956205441583
Gilad Shalit,14,0.002036956205441583
biography,14,0.002036956205441583
Yom Kippur Observance,14,0.002036956205441583
Theodor Herzl,14,0.002036956205441583
Sukkot read,14,0.002036956205441583
Kaddish,14,0.002036956205441583
Vladimir Jabotinsky,14,0.002036956205441583
Gil Marks,14,0.002036956205441583
eruvin,14,0.002036956205441583
Marjorie Ingall,14,0.002036956205441583
marijuana,14,0.002036956205441583
Mavi Marmara,14,0.002036956205441583
Passover Ritual,14,0.002036956205441583
Jewish summer camp,14,0.002036956205441583
religion,14,0.002036956205441583
Marine Le Pen,14,0.002036956205441583
Ilhan Omar,14,0.002036956205441583
