,count,percent
western wall,109,0.0033071391729117996
congress,109,0.0033071391729117996
Hillary Clinton,107,0.0032464577201978214
racism,106,0.0032161169938408327
Congress,106,0.0032161169938408327
Hebrew,105,0.0031857762674838436
Hanukkah,105,0.0031857762674838436
passover,105,0.0031857762674838436
film,105,0.0031857762674838436
motherhood,104,0.0031554355411268545
chicago,102,0.0030947540884128768
synagogues,101,0.0030644133620558876
Tel Aviv,101,0.0030644133620558876
Palestinian Authority,101,0.0030644133620558876
salary survey,101,0.0030644133620558876
auschwitz-birkenau,100,0.0030340726356988985
neo Nazis,100,0.0030340726356988985
Genetics,99,0.0030037319093419094
kotel,98,0.0029733911829849208
hanukkah,98,0.0029733911829849208
Pittsburgh shooting,98,0.0029733911829849208
Islam,98,0.0029733911829849208
twitter,98,0.0029733911829849208
sexual assault,97,0.0029430504566279317
War,97,0.0029430504566279317
Sheldon Adelson,96,0.0029127097302709425
chabad,96,0.0029127097302709425
New York Times,95,0.002882369003913954
Visual Art,95,0.002882369003913954
USA,94,0.0028520282775569648
Bernie Sanders,93,0.0028216875511999757
africa,91,0.002761006098485998
Abortion,90,0.0027306653721290088
kidnap,90,0.0027306653721290088
LGBT,90,0.0027306653721290088
Syria,90,0.0027306653721290088
Refugees,89,0.0027003246457720197
video,88,0.002669983919415031
haredi,87,0.002639643193058042
gun control,86,0.0026093024667010528
Jewish Vote,86,0.0026093024667010528
sexual abuse,85,0.0025789617403440637
Bob Dylan,85,0.0025789617403440637
europe,84,0.002548621013987075
bernie sanders,84,0.002548621013987075
prison,84,0.002548621013987075
Nazi,84,0.002548621013987075
paris,83,0.002518280287630086
Kosher,83,0.002518280287630086
Mahmoud Abbas,82,0.002487939561273097
White Nationalist,81,0.0024575988349161077
Facebook,81,0.0024575988349161077
Reuters,79,0.00239691738220213
facebook,79,0.00239691738220213
Haredi,79,0.00239691738220213
protest,78,0.002366576655845141
Florida,78,0.002366576655845141
Brooklyn,78,0.002366576655845141
Yom Kippur,77,0.002336235929488152
california,76,0.002305895203131163
mahmoud abbas,76,0.002305895203131163
music,76,0.002305895203131163
marriage,75,0.002275554476774174
birthright,75,0.002275554476774174
j street,75,0.002275554476774174
Jenna Weissman Joselit,74,0.002245213750417185
holiday,74,0.002245213750417185
marijuana,73,0.002214873024060196
Egypt,73,0.002214873024060196
middle east,73,0.002214873024060196
poll,73,0.002214873024060196
transgender,72,0.002184532297703207
Comedy,72,0.002184532297703207
pittsburgh,72,0.002184532297703207
pew,72,0.002184532297703207
Woody Allen,72,0.002184532297703207
mikveh,72,0.002184532297703207
United Nations,71,0.002154191571346218
Paris,71,0.002154191571346218
campus,71,0.002154191571346218
terrorism,70,0.0021238508449892292
Feminism,70,0.0021238508449892292
women of the wall,69,0.00209351011863224
sukkot,69,0.00209351011863224
evangelical,69,0.00209351011863224
John Kerry,69,0.00209351011863224
backward,69,0.00209351011863224
Knesset,68,0.002063169392275251
sheldon adelson,68,0.002063169392275251
family,68,0.002063169392275251
food,67,0.002032828665918262
Charlottesville,67,0.002032828665918262
Red State Jews,67,0.002032828665918262
Natalie Portman,67,0.002032828665918262
photography,67,0.002032828665918262
