,count,percent
zionist,89,0.002607676530911222
trump,88,0.0025783767946088486
yona sabar,88,0.0025783767946088486
technology,88,0.0025783767946088486
australia,87,0.0025490770583064754
north korea,87,0.0025490770583064754
zocalo public square,87,0.0025490770583064754
libya,87,0.0025490770583064754
bomb,87,0.0025490770583064754
family,87,0.0025490770583064754
war,87,0.0025490770583064754
bar mitzvah,86,0.002519777322004102
vladimir putin,86,0.002519777322004102
gop,86,0.002519777322004102
washington,86,0.002519777322004102
mohamed morsi,86,0.002519777322004102
movies,85,0.0024904775857017285
marriage,85,0.0024904775857017285
funeral,84,0.0024611778493993553
brooklyn,84,0.0024611778493993553
ehud barak,83,0.002431878113096982
chemical weapons,82,0.002402578376794609
shavuot,82,0.002402578376794609
christian,82,0.002402578376794609
ramallah,82,0.002402578376794609
divestment and sanctions,82,0.002402578376794609
democrats,81,0.0023732786404922356
general assembly,80,0.0023439789041898623
flotilla,80,0.0023439789041898623
fbi,80,0.0023439789041898623
berlin,80,0.0023439789041898623
steve greenberg,80,0.0023439789041898623
violence,80,0.0023439789041898623
television,80,0.0023439789041898623
hitler,80,0.0023439789041898623
pope francis,79,0.002314679167887489
iaea,79,0.002314679167887489
rocket,79,0.002314679167887489
east jerusalem,78,0.002285379431585116
cartoon,78,0.002285379431585116
jonathan fong,78,0.002285379431585116
nba,78,0.002285379431585116
hebron,78,0.002285379431585116
holocaust survivor,77,0.0022560796952827426
jared kushner,76,0.002226779958980369
avigdor lieberman,76,0.002226779958980369
jcc,76,0.002226779958980369
china,76,0.002226779958980369
american jewish committee,76,0.002226779958980369
french,76,0.002226779958980369
academy awards,76,0.002226779958980369
reform,75,0.0021974802226779958
operation protective edge,75,0.0021974802226779958
marty kaplan,75,0.0021974802226779958
gun control,74,0.0021681804863756225
immigration,74,0.0021681804863756225
britain,74,0.0021681804863756225
vote,73,0.0021388807500732493
documentary,73,0.0021388807500732493
anti-israel,72,0.002109581013770876
charlie hebdo,72,0.002109581013770876
cancer,72,0.002109581013770876
eu,72,0.002109581013770876
house of representatives,71,0.002080281277468503
south africa,71,0.002080281277468503
ikar,71,0.002080281277468503
home,71,0.002080281277468503
new jersey,71,0.002080281277468503
american jews,70,0.0020509815411661296
beverly hills,70,0.0020509815411661296
movie review,70,0.0020509815411661296
my single peeps,70,0.0020509815411661296
standwithus,70,0.0020509815411661296
hanukkah,70,0.0020509815411661296
jonathan kirsch,69,0.0020216818048637564
comedy,69,0.0020216818048637564
republicans,69,0.0020216818048637564
school,69,0.0020216818048637564
saudi arabia,69,0.0020216818048637564
lifestyle,69,0.0020216818048637564
eric garcetti,68,0.001992382068561383
assad,68,0.001992382068561383
Charlottesville,68,0.001992382068561383
israeli-palestinian conflict,67,0.0019630823322590095
basketball,67,0.0019630823322590095
gilad shalit,67,0.0019630823322590095
obamacare,66,0.0019337825959566365
state department,66,0.0019337825959566365
kotel,66,0.0019337825959566365
muslims,66,0.0019337825959566365
belgium,66,0.0019337825959566365
hungary,66,0.0019337825959566365
baseball,66,0.0019337825959566365
michael oren,66,0.0019337825959566365
nazis,66,0.0019337825959566365
jewish federation of greater los angeles,65,0.001904482859654263
holocaust remembrance day,65,0.001904482859654263
joe biden,65,0.001904482859654263
cuba,65,0.001904482859654263
new york times,65,0.001904482859654263
marco rubio,64,0.0018751831233518898
bibi,64,0.0018751831233518898
ahmadinejad,64,0.0018751831233518898
adolf hitler,64,0.0018751831233518898
mubarak,63,0.0018458833870495166
isil,63,0.0018458833870495166
money,63,0.0018458833870495166
tzipi livni,62,0.0018165836507471433
un,62,0.0018165836507471433
police,62,0.0018165836507471433
cease-fire,62,0.0018165836507471433
university of california,61,0.00178728391444477
exodus,61,0.00178728391444477
ajc,61,0.00178728391444477
wedding,61,0.00178728391444477
hassan rouhani,61,0.00178728391444477
mylacommute,61,0.00178728391444477
gay,61,0.00178728391444477
high holidays,61,0.00178728391444477
nuclear program,60,0.0017579841781423966
thanksgiving,60,0.0017579841781423966
bill clinton,60,0.0017579841781423966
sci-tech,60,0.0017579841781423966
al qaeda,60,0.0017579841781423966
football,60,0.0017579841781423966
hillel,60,0.0017579841781423966
circumcision,59,0.0017286844418400234
racism,59,0.0017286844418400234
protests,59,0.0017286844418400234
conservative,59,0.0017286844418400234
economy,59,0.0017286844418400234
jewish journal,59,0.0017286844418400234
sinai temple,59,0.0017286844418400234
children,58,0.0016993847055376502
jonathan pollard,58,0.0016993847055376502
settlement,57,0.001670084969235277
rabbi david wolpe,57,0.001670084969235277
moses,57,0.001670084969235277
ban ki-moon,57,0.001670084969235277
birthright,57,0.001670084969235277
social media,57,0.001670084969235277
louis farrakhan,56,0.0016407852329329035
lgbtq,56,0.0016407852329329035
refugees,56,0.0016407852329329035
haredi,56,0.0016407852329329035
moscow,56,0.0016407852329329035
shmuel rosner,56,0.0016407852329329035
cnn,56,0.0016407852329329035
google,55,0.0016114854966305303
haifa,55,0.0016114854966305303
elie wiesel,55,0.0016114854966305303
yiddish,55,0.0016114854966305303
american,55,0.0016114854966305303
fire,55,0.0016114854966305303
jonathan greenblatt,55,0.0016114854966305303
conversion,55,0.0016114854966305303
divestment,54,0.001582185760328157
islamist,54,0.001582185760328157
soccer,54,0.001582185760328157
kavod v’nichum,54,0.001582185760328157
hebrew word of the week,54,0.001582185760328157
new york city,54,0.001582185760328157
peace process,54,0.001582185760328157
prime minister,54,0.001582185760328157
sukkah,53,0.0015528860240257838
pakistan,53,0.0015528860240257838
u.s.,53,0.0015528860240257838
sinai,53,0.0015528860240257838
zoa,53,0.0015528860240257838
valley beth shalom,53,0.0015528860240257838
italy,53,0.0015528860240257838
usc,53,0.0015528860240257838
dvar torah,53,0.0015528860240257838
greece,53,0.0015528860240257838
texas,53,0.0015528860240257838
alan gross,53,0.0015528860240257838
debate,52,0.0015235862877234106
american israel public affairs committee,52,0.0015235862877234106
government,52,0.0015235862877234106
dnc,52,0.0015235862877234106
college,52,0.0015235862877234106
moshe yaalon,51,0.0014942865514210371
editorial cartoon,51,0.0014942865514210371
yair lapid,51,0.0014942865514210371
naftali bennett,51,0.0014942865514210371
health care,51,0.0014942865514210371
nfl,51,0.0014942865514210371
shoah,51,0.0014942865514210371
israeli elections,50,0.001464986815118664
danielle berrin,50,0.001464986815118664
terrorist,50,0.001464986815118664
aliyah,50,0.001464986815118664
diaspora,50,0.001464986815118664
uranium,50,0.001464986815118664
republican jewish coalition,50,0.001464986815118664
women's march,49,0.0014356870788162907
wilshire boulevard temple,49,0.0014356870788162907
president trump,49,0.0014356870788162907
aju,49,0.0014356870788162907
dead,49,0.0014356870788162907
swastika,49,0.0014356870788162907
buenos aires,49,0.0014356870788162907
poll,49,0.0014356870788162907
unesco,49,0.0014356870788162907
holiday,48,0.0014063873425139174
pro-israel,48,0.0014063873425139174
shin bet,48,0.0014063873425139174
sweden,48,0.0014063873425139174
chuck hagel,48,0.0014063873425139174
security,48,0.0014063873425139174
brussels,48,0.0014063873425139174
charedi,48,0.0014063873425139174
science,47,0.001377087606211544
haftarah,47,0.001377087606211544
jeb bush,47,0.001377087606211544
san francisco,47,0.001377087606211544
military,47,0.001377087606211544
plo,47,0.001377087606211544
lapd,47,0.001377087606211544
refugee,47,0.001377087606211544
holocaust survivors,47,0.001377087606211544
natalie portman,47,0.001377087606211544
paul ryan,47,0.001377087606211544
sex,47,0.001377087606211544
cooking,46,0.0013477878699091708
netflix,46,0.0013477878699091708
conflict,46,0.0013477878699091708
ilhan omar,46,0.0013477878699091708
linda sarsour,46,0.0013477878699091708
president obama,46,0.0013477878699091708
ben shapiro,46,0.0013477878699091708
hbo,46,0.0013477878699091708
online dating,46,0.0013477878699091708
vandalism,46,0.0013477878699091708
students for justice in palestine,46,0.0013477878699091708
david friedman,46,0.0013477878699091708
yemen,46,0.0013477878699091708
mark zuckerberg,46,0.0013477878699091708
nikki haley,45,0.0013184881336067975
jon stewart,45,0.0013184881336067975
ferguson,45,0.0013184881336067975
gabrielle giffords,45,0.0013184881336067975
american jewish university,45,0.0013184881336067975
us,45,0.0013184881336067975
africa,45,0.0013184881336067975
yitzhak rabin,45,0.0013184881336067975
azerbaijan,45,0.0013184881336067975
steven spielberg,45,0.0013184881336067975
vatican,45,0.0013184881336067975
bombing,45,0.0013184881336067975
jewish federations of north america,45,0.0013184881336067975
coalition,45,0.0013184881336067975
santa monica,45,0.0013184881336067975
cover story,44,0.0012891883973044243
nationworld,44,0.0012891883973044243
theater,44,0.0012891883973044243
brad sherman,44,0.0012891883973044243
six day war,44,0.0012891883973044243
orthodox jews,44,0.0012891883973044243
matisyahu,44,0.0012891883973044243
mortuary,44,0.0012891883973044243
boston marathon,44,0.0012891883973044243
democracy,44,0.0012891883973044243
gilad shaar,44,0.0012891883973044243
judea pearl,44,0.0012891883973044243
anne frank,44,0.0012891883973044243
japan,43,0.001259888661002051
pittsburgh,43,0.001259888661002051
international atomic energy agency,43,0.001259888661002051
las vegas,43,0.001259888661002051
bat mitzvah,43,0.001259888661002051
journalist,43,0.001259888661002051
journalism,43,0.001259888661002051
suicide,43,0.001259888661002051
lawsuit,43,0.001259888661002051
neo-nazi,43,0.001259888661002051
osama bin laden,43,0.001259888661002051
spain,43,0.001259888661002051
army,43,0.001259888661002051
tikkun olam,43,0.001259888661002051
qatar,43,0.001259888661002051
gazahome,43,0.001259888661002051
israeli politics,43,0.001259888661002051
pico-robertson,43,0.001259888661002051
operation pillar of defense,43,0.001259888661002051
nato,43,0.001259888661002051
chicago,42,0.0012305889246996776
apple,42,0.0012305889246996776
christmas,42,0.0012305889246996776
zionist organization of america,42,0.0012305889246996776
israeli-gaza conflict,42,0.0012305889246996776
relationships,42,0.0012305889246996776
obama administration,42,0.0012305889246996776
austria,42,0.0012305889246996776
mayor,42,0.0012305889246996776
munich 11,41,0.0012012891883973044
lamoth,41,0.0012012891883973044
alberto nisman,41,0.0012012891883973044
morsi,41,0.0012012891883973044
damascus,41,0.0012012891883973044
finance,41,0.0012012891883973044
pa,41,0.0012012891883973044
bulgaria,41,0.0012012891883973044
Rosner's Torah Talk,41,0.0012012891883973044
federation,41,0.0012012891883973044
sjp,41,0.0012012891883973044
reuven rivlin,41,0.0012012891883973044
brazil,41,0.0012012891883973044
earthquake,41,0.0012012891883973044
jewish community center,41,0.0012012891883973044
the jewish federation of greater los angeles,40,0.0011719894520949312
security council,40,0.0011719894520949312
torah talk,40,0.0011719894520949312
clinton,40,0.0011719894520949312
shiva,40,0.0011719894520949312
jay sanderson,40,0.0011719894520949312
eyal yifrach,40,0.0011719894520949312
passover2015,40,0.0011719894520949312
homeless,40,0.0011719894520949312
special needs,40,0.0011719894520949312
mahmoud ahmadinejad,40,0.0011719894520949312
natan sharansky,40,0.0011719894520949312
isaac herzog,40,0.0011719894520949312
museum,40,0.0011719894520949312
zev yaroslavsky,39,0.001142689715792558
prison,39,0.001142689715792558
ivanka trump,39,0.001142689715792558
talmud,39,0.001142689715792558
mossad,39,0.001142689715792558
rabbi sharon brous,39,0.001142689715792558
table for five,39,0.001142689715792558
mlb,39,0.001142689715792558
911,38,0.0011133899794901845
50 plus,38,0.0011133899794901845
amia,38,0.0011133899794901845
arizona shooting,38,0.0011133899794901845
israeli-palestinian relations,38,0.0011133899794901845
boston,38,0.0011133899794901845
ioc,38,0.0011133899794901845
pesach,38,0.0011133899794901845
al-qaida,38,0.0011133899794901845
mideast,38,0.0011133899794901845
hosni mubarak,38,0.0011133899794901845
killed,38,0.0011133899794901845
rabbis,38,0.0011133899794901845
the jewish world,37,0.0010840902431878113
weapons,37,0.0010840902431878113
shopping,37,0.0010840902431878113
lausd,37,0.0010840902431878113
Travel Expert,37,0.0010840902431878113
weddings,37,0.0010840902431878113
graduation,37,0.0010840902431878113
washington d.c.,37,0.0010840902431878113
rape,37,0.0010840902431878113
weekly torah portion,37,0.0010840902431878113
civil war,37,0.0010840902431878113
skirball cultural center,37,0.0010840902431878113
internet,37,0.0010840902431878113
angela merkel,37,0.0010840902431878113
german,37,0.0010840902431878113
greenberg's view,37,0.0010840902431878113
release,37,0.0010840902431878113
ron dermer,36,0.001054790506885438
budapest,36,0.001054790506885438
sderot,36,0.001054790506885438
rjc,36,0.001054790506885438
mayim bialik,36,0.001054790506885438
youtube,36,0.001054790506885438
campaign,36,0.001054790506885438
israeli american council,36,0.001054790506885438
donald sterling,36,0.001054790506885438
philanthropy,36,0.001054790506885438
negev,36,0.001054790506885438
uk,36,0.001054790506885438
jewish federation,36,0.001054790506885438
picks and clicks,36,0.001054790506885438
history,36,0.001054790506885438
iac,35,0.0010254907705830648
geneva,35,0.0010254907705830648
hate-crime,35,0.0010254907705830648
play,35,0.0010254907705830648
middle east peace,35,0.0010254907705830648
connecticut,35,0.0010254907705830648
genocide,35,0.0010254907705830648
sudan,35,0.0010254907705830648
dies,35,0.0010254907705830648
jeremy corbyn,35,0.0010254907705830648
british,35,0.0010254907705830648
debbie wasserman schultz,35,0.0010254907705830648
mother's day,34,0.0009961910342806916
embassy,34,0.0009961910342806916
amsterdam,34,0.0009961910342806916
toulouse,34,0.0009961910342806916
fashion,34,0.0009961910342806916
glenn beck,34,0.0009961910342806916
tel aviv university,34,0.0009961910342806916
holidays,34,0.0009961910342806916
la,34,0.0009961910342806916
kol nidre,34,0.0009961910342806916
gal gadot,33,0.0009668912979783182
kerry,33,0.0009668912979783182
survivors,33,0.0009668912979783182
theatre,33,0.0009668912979783182
mavi marmara,33,0.0009668912979783182
riots,33,0.0009668912979783182
speech,33,0.0009668912979783182
jihad,33,0.0009668912979783182
hadassah,33,0.0009668912979783182
yom haatzmaut,33,0.0009668912979783182
world jewish congress,33,0.0009668912979783182
yeshiva university,33,0.0009668912979783182
shalhevet high school,33,0.0009668912979783182
susan rice,33,0.0009668912979783182
new zealand,33,0.0009668912979783182
arrest,32,0.0009375915616759449
star of david,32,0.0009375915616759449
persian,32,0.0009375915616759449
camp,32,0.0009375915616759449
marijuana,32,0.0009375915616759449
nazi germany,32,0.0009375915616759449
iphone,32,0.0009375915616759449
ehud olmert,32,0.0009375915616759449
dutch,32,0.0009375915616759449
haggadah,32,0.0009375915616759449
matzah,32,0.0009375915616759449
sarah silverman,32,0.0009375915616759449
chuck schumer,32,0.0009375915616759449
san bernardino,32,0.0009375915616759449
life,32,0.0009375915616759449
spy,32,0.0009375915616759449
labor party,32,0.0009375915616759449
yad vashem,32,0.0009375915616759449
prime minister benjamin netanyahu,32,0.0009375915616759449
ceasefire,32,0.0009375915616759449
the mensch list,32,0.0009375915616759449
explosion,32,0.0009375915616759449
crossword,32,0.0009375915616759449
catholic,32,0.0009375915616759449
pope,32,0.0009375915616759449
cemetery,32,0.0009375915616759449
foreign policy,32,0.0009375915616759449
ashkelon,32,0.0009375915616759449
boyle heights,31,0.0009082918253735717
judy zeidler,31,0.0009082918253735717
wave of violence,31,0.0009082918253735717
media,31,0.0009082918253735717
bible,31,0.0009082918253735717
sexual abuse,31,0.0009082918253735717
house,31,0.0009082918253735717
ebola,31,0.0009082918253735717
david siegel,31,0.0009082918253735717
mike pence,31,0.0009082918253735717
temple beth am,31,0.0009082918253735717
kiev,31,0.0009082918253735717
craig taubman,31,0.0009082918253735717
union for reform judaism,31,0.0009082918253735717
author,31,0.0009082918253735717
weekly parashat,31,0.0009082918253735717
naftali frenkel,31,0.0009082918253735717
motherhood,31,0.0009082918253735717
chocolate,31,0.0009082918253735717
karen lehrman bloch,31,0.0009082918253735717
interview,31,0.0009082918253735717
kadima,31,0.0009082918253735717
oscar,31,0.0009082918253735717
los angeles clippers,31,0.0009082918253735717
abraham foxman,31,0.0009082918253735717
massacre,31,0.0009082918253735717
vienna,30,0.0008789920890711983
transgender,30,0.0008789920890711983
september 11,30,0.0008789920890711983
modern orthodox,30,0.0008789920890711983
beit t'shuvah,30,0.0008789920890711983
john boehner,30,0.0008789920890711983
daniel pearl,30,0.0008789920890711983
anti-zionism,30,0.0008789920890711983
orthodox union,30,0.0008789920890711983
wikileaks,30,0.0008789920890711983
ariel sharon,30,0.0008789920890711983
political cartoon,30,0.0008789920890711983
pew research center,30,0.0008789920890711983
jerry brown,30,0.0008789920890711983
recep tayyip erdogan,30,0.0008789920890711983
kkk,30,0.0008789920890711983
nbc,30,0.0008789920890711983
anthony weiner,30,0.0008789920890711983
rocket fire,30,0.0008789920890711983
kristallnacht,30,0.0008789920890711983
defense,30,0.0008789920890711983
border,30,0.0008789920890711983
chasidic,29,0.0008496923527688251
rnc,29,0.0008496923527688251
anti-bds,29,0.0008496923527688251
budget,29,0.0008496923527688251
feminism,29,0.0008496923527688251
warsaw,29,0.0008496923527688251
michael brown,29,0.0008496923527688251
deceased,29,0.0008496923527688251
ethiopia,29,0.0008496923527688251
hyper cacher,29,0.0008496923527688251
eric cantor,29,0.0008496923527688251
affordable care act,29,0.0008496923527688251
persian jews,29,0.0008496923527688251
polls,29,0.0008496923527688251
president donald trump,29,0.0008496923527688251
summer camp,29,0.0008496923527688251
bomb threat,29,0.0008496923527688251
strike,29,0.0008496923527688251
parsha,29,0.0008496923527688251
gina nahai,29,0.0008496923527688251
interfaith,29,0.0008496923527688251
india,29,0.0008496923527688251
tv,29,0.0008496923527688251
writer,29,0.0008496923527688251
huc-jir,28,0.0008203926164664518
newtown,28,0.0008203926164664518
ngo,28,0.0008203926164664518
michael bloomberg,28,0.0008203926164664518
hospital,28,0.0008203926164664518
rabbi naomi levy,28,0.0008203926164664518
secretary of state,28,0.0008203926164664518
gush etzion,28,0.0008203926164664518
sodastream,28,0.0008203926164664518
mexico,28,0.0008203926164664518
bloghome,28,0.0008203926164664518
prisoner,28,0.0008203926164664518
england,28,0.0008203926164664518
international olympic committee,28,0.0008203926164664518
prager,28,0.0008203926164664518
u.s.-israel relations,28,0.0008203926164664518
settlement freeze,28,0.0008203926164664518
parashat hashavuah,28,0.0008203926164664518
online,28,0.0008203926164664518
hebrew union college-jewish institute of religion,28,0.0008203926164664518
jewish education,28,0.0008203926164664518
southern california,28,0.0008203926164664518
sexual assault,28,0.0008203926164664518
cia,28,0.0008203926164664518
yesh atid,28,0.0008203926164664518
french jews,28,0.0008203926164664518
harvey weinstein,27,0.0007910928801640785
truce,27,0.0007910928801640785
arson,27,0.0007910928801640785
ramadan,27,0.0007910928801640785
uc irvine,27,0.0007910928801640785
tree of life,27,0.0007910928801640785
anat hoffman,27,0.0007910928801640785
iran sanctions,27,0.0007910928801640785
temple israel of hollywood,27,0.0007910928801640785
jewish world watch,27,0.0007910928801640785
statehood,27,0.0007910928801640785
tunisia,27,0.0007910928801640785
us-israel relations,27,0.0007910928801640785
republican candidate,27,0.0007910928801640785
palestinian state,27,0.0007910928801640785
haim saban,27,0.0007910928801640785
funding,27,0.0007910928801640785
labour party,27,0.0007910928801640785
fraud,27,0.0007910928801640785
woody allen,27,0.0007910928801640785
danny danon,27,0.0007910928801640785
memorial day,27,0.0007910928801640785
nobel prize,27,0.0007910928801640785
peter beinart,27,0.0007910928801640785
kenya,27,0.0007910928801640785
madonna,27,0.0007910928801640785
crimea,27,0.0007910928801640785
gaza war,27,0.0007910928801640785
concert,27,0.0007910928801640785
roger waters,27,0.0007910928801640785
court,27,0.0007910928801640785
barbra streisand,27,0.0007910928801640785
george w. bush,27,0.0007910928801640785
yeshiva,27,0.0007910928801640785
ohio,27,0.0007910928801640785
bend the arc,27,0.0007910928801640785
afghanistan,27,0.0007910928801640785
los angeles museum of the holocaust,27,0.0007910928801640785
news,27,0.0007910928801640785
sephardic,27,0.0007910928801640785
francois hollande,27,0.0007910928801640785
holy land,26,0.0007617931438617053
romney,26,0.0007617931438617053
west hollywood,26,0.0007617931438617053
uganda,26,0.0007617931438617053
alan dershowitz,26,0.0007617931438617053
gantz,26,0.0007617931438617053
human rights,26,0.0007617931438617053
los angeles jewish film festival,26,0.0007617931438617053
morocco,26,0.0007617931438617053
donation,26,0.0007617931438617053
berkeley,26,0.0007617931438617053
reform judaism,26,0.0007617931438617053
mourning,26,0.0007617931438617053
students,26,0.0007617931438617053
auschwitz-birkenau,26,0.0007617931438617053
israel-gaza conflict,26,0.0007617931438617053
mount sinai,26,0.0007617931438617053
photography,26,0.0007617931438617053
gay marriage,26,0.0007617931438617053
lectures,26,0.0007617931438617053
tu b'shevat,26,0.0007617931438617053
