,count,percent
overall,32970,1.0
untagged,11,0.00033363663936912346
ungrouped,0,0.0
News section,12039,0.3652720046117904
Life section,8314,0.2522527989320064
Opinion section,6317,0.19166236839709944
Culture section,3291,0.09985133044085076
Blogs section,2981,0.09044570527018417
Other section,17,0.0005157923480688128
