,count,percent
overall,34130,1.0
untagged,0,0.0
ungrouped,0,0.0
News section,19989,0.5856724289481394
Culture section,7521,0.22036331673014942
Opinion section,4378,0.1282742455317902
Blogs section,1369,0.04011133899794902
Other section,832,0.02437738060357457
Life section,41,0.0012012891883973044
